n,p,gamma,df,rho,snr,rep,center_X,standardize_X,beta_sparsity,beta_scale,seed,sigma2,empirical_snr,method,mse
200,40,0.2,1.0,0.0,10.0,5,True,True,,1.0,884860901,1058.5514835191248,10.0,OLS,4.730774110568516
200,40,0.2,1.0,0.0,10.0,5,True,True,,1.0,884860901,1058.5514835191248,10.0,LAD,0.15628879601528425
200,40,0.2,1.0,0.0,10.0,5,True,True,,1.0,884860901,1058.5514835191248,10.0,Huber,0.08646030832020286
200,40,0.2,1.0,0.0,10.0,6,True,True,,1.0,176165054,480.8297916532074,10.000000000000002,OLS,4.294593190679504
200,40,0.2,1.0,0.0,10.0,6,True,True,,1.0,176165054,480.8297916532074,10.000000000000002,LAD,0.20398012334316223
200,40,0.2,1.0,0.0,10.0,6,True,True,,1.0,176165054,480.8297916532074,10.000000000000002,Huber,0.09278190828258567
200,40,0.2,1.0,0.0,10.0,7,True,True,,1.0,1411140426,895.745113546445,10.000000000000004,OLS,5.876257941593401
200,40,0.2,1.0,0.0,10.0,7,True,True,,1.0,1411140426,895.745113546445,10.000000000000004,LAD,0.07606170257004181
200,40,0.2,1.0,0.0,10.0,7,True,True,,1.0,1411140426,895.745113546445,10.000000000000004,Huber,0.036854836386292604
200,40,0.2,1.0,0.0,10.0,8,True,True,,1.0,1408868782,716.3720135423164,10.000000000000002,OLS,5.386241334466779
200,40,0.2,1.0,0.0,10.0,8,True,True,,1.0,1408868782,716.3720135423164,10.000000000000002,LAD,0.10724705083489046
200,40,0.2,1.0,0.0,10.0,8,True,True,,1.0,1408868782,716.3720135423164,10.000000000000002,Huber,0.03672472644996418
200,40,0.2,1.0,0.0,10.0,9,True,True,,1.0,1516792262,979.3195861783166,10.0,OLS,4.4591332226419995
200,40,0.2,1.0,0.0,10.0,9,True,True,,1.0,1516792262,979.3195861783166,10.0,LAD,1.0170689921666989
200,40,0.2,1.0,0.0,10.0,9,True,True,,1.0,1516792262,979.3195861783166,10.0,Huber,1.0662944101755927
200,40,0.2,1.0,0.0,10.0,10,True,True,,1.0,1530470947,636.2432273552157,10.0,OLS,4.054110339685282
200,40,0.2,1.0,0.0,10.0,10,True,True,,1.0,1530470947,636.2432273552157,10.0,LAD,0.021893505585776032
200,40,0.2,1.0,0.0,10.0,10,True,True,,1.0,1530470947,636.2432273552157,10.0,Huber,0.02775495123968119
200,40,0.2,1.0,0.0,10.0,11,True,True,,1.0,735807810,945.3870089681088,9.999999999999996,OLS,5.225598338588865
200,40,0.2,1.0,0.0,10.0,11,True,True,,1.0,735807810,945.3870089681088,9.999999999999996,LAD,0.26796426327119904
